name,affiliation
Cliff Lampe,University of Michigan
Simone Barbosa,PUC-Rio
David A. Shamma,Toyota Research Institute
Caroline Appert,Université Paris-Saclay
Katta Spiel,TU Wien
Christina Harrington,Carnegie Mellon University
Danilo Gasques,UC San Diego
Ihudiya Finda Williams,University of Michigan
Monica Pereira,Brunel University London
Dominic DiFranzo,Lehigh University
Hugo Romat,Microsoft
Anupriya Tuli,"IIIT Delhi, India"
Cayley MacArthur,"University of Waterloo, Canada"
Steven Drucker,Microsoft Research
Julie Williamson,University of Glasgow
Koji Yatani,University of Tokyo
Nikita Samarin,"University of California, Berkeley"
Zhongyi Zhou,University of Tokyo
David Lindlbauer,CMU
Heloisa Candello,IBM
Vinoba Vinayagamoorthy,BBC
Pedro Lopes,University of Chicago
Frank Bentley,Google
Catherine Letondal,Ecole Nationale Aviation Civile
Anicia Peters,University of Namibia
Kathryn Ringland,University of California
Norman Makoto Su,"University of California, Santa Cruz"
Oliver Haimson,University of Michigan
Nicolai Marquardt,University College London
Eunice Sari,UX Indonesia
Louise Barkhuus,IT University of Copenhagen
Shaimaa Lazem,City for Scientific Research and Technological Applications
Simon Perrault,Singapore University of Technology and Design
Kashyap Todi,Facebook Reality Labs
Pablo Cesar,CWI
Stephanie Jordan,Michigan State University
Makayla Lewis,Kingston University London
Sameer Patil,University of Utah
Cynthia Bennett,CMU
Nova Ahmed,North South University
Maryam Mustafa,Lahore University of Management Sciences
Anusha Withana,The University of Sydney
Pei-Yi (Patricia) Kuo,National Tsing Hua University
Z Toups,New Mexico State University
Jakob Karolus,LMU Munich
Vicky McArthur,Carleton University
Jasmine Jones,Berea College
Can Liu,City University of Hong Kong
Jorge Goncalves,"University of Melbourne, Australia"
Dakuo Wang,IBM
Sheena Erete,DePaul University
Rita Orji,Dalhousie University
Raimund Dachselt,Technische Universität Dresden
Melissa Densmore,University of Cape Town
Julie Kientz,University of Washington
Eva Hornecker,Bauhaus-Universität Weimar
Nathalie Riche,Microsoft Research
Casey Fiesler,University of Colorado Boulder
Jude Yew,Google
Max Van Kleek,University of Oxford
Fanny Chevalier,University of Toronto
Carrie Cai,Google
Emmanuel Pietriga,Inria
Paula Lago,Concordia University
Vanessa Peña-Araya,Inria
Sven Mayer,LMU Munich
Thomas Kosch,TU Darmstadt
Raphael Wimmer,University of Regensburg
Diego Muñoz,Swinburne University of Technology
Alexander Mirnig,University of Salzburg
Anhong Guo,University of Michigan
Rob Comber,KTH
Cristina Zaga,"University of Twente, Design Lab"
Yi-Chi Liao,Aalto University
Bingjie Yu,NetEase
Ciabhan Connely,Georgia Tech
Julia Dunbar,University of Washington
Pranjal Jain,"theUXWhale, India"
Emeline Brulé,University of Sussex
Simone Kriglstein,University of Vienna & AIT Austrian Institute of Technology GmbH
John Wenskovitch,Pacific Northwest National Laboratory
Toni-Jan Keith Monserrat,University of the Philippines Los Banos
Jie Li,CWI
Dhruv Jain,University of Washington
Garreth Tigwell,Rochester Institute of Technology
Zainab AlMeraj,Kuwait University
Kotaro Hara,Singapore Management University
Venkatesh Potluri,University of Washington
Shercole K.,VIA LINK
Jaelle Scheuerman,U.S. Naval Research Laboratory
Minha Lee,Eindhoven University of Technology
Patrick Gage Kelley,Google
Rua Williams,Purdue University
Gopinaath Kannabiran,IT University of Copenhagen
Siobahn Day Grady,North Carolina Central University
Rina Wehbe,University of Waterloo
Cale Passmore,University of Saskatchewan
Christine Bauer,Utrecht University
Annu Sible Prabhakar,University of Cincinnati
Cuauhtémoc Rivera Loaiza,Universidad Michoacana de San Nicolás de Hidalgo
Eiad Yafi,"University of Technology Sydney & Institute of Business, Timor-Leste"
Susan Dray,Dray & Associates
Marisol Wong-Villacres,Georgia Tech
Parisa Eslambolchilar,University of Cardiff
Kristin Williams,CMU
Pedro Reynolds-Cuéllar,MIT Media Lab
Jason Jacques,University of Cambridge
Albrecht Schmidt,LMU Munich
Kaisa Väänänen,Tampere University
Tesh Goyal,Google Research
Per Ola Kristensson,University of Cambridge
Anicia Peters,University of Namibia
Stefanie Mueller,Massachusetts Institute of Technology
Julie R. Williamson,University of Glasgow
Max L. Wilson,University of Nottingham
Alisa Burova,Tampere University
Passant Elagroudy,German Centre for Artificial Intelligence (DFKI)
Jie Cai,Penn State University
Gionnieve Lim,Singapore University of Technology and Design
Andrii Matviienko,Technical University of Darmstadt
Callum Berger,University of Nottingham
Faraz Faruqi,Massachusetts Institute of Technology
Megan Hofmann,Northeastern University
Yue Jiang,Aalto University
Claudia Loitsch,TU Dresden
