Aakar Gupta,[Facebook]
Aaron Quigley,"[University of New South Wales, Australia]"
Abby Liu,[IRCAM]
Abdallah El Ali,[Centrum Wiskunde & Informatica (CWI)]
Abiodun Ogunyemi,[Tallinn University]
Adam Perer,[Carnegie Mellon University]
Aditya Vashistha,[Cornell]
Adrian Clear,[Northumbria University]
Adrian Friday,"[Lancaster University, UK]"
Afsaneh Doryab,[University of Virginia]
Ahmed Kharrufa,[Newcastle University]
Ahmed Sabbir Arif,"[University of California, Merced]"
Aisling Kelliher,[Virginia Tech]
Aisling O’Kane,[University of Bristol]
Alan Dix,"[Swansea University, UK]"
Alanson Sample,[University of Michigan]
Albrecht Schmidt,[LMU Munich]
Alena Denisova,[City University London]
Alena Naiakshina,[Rheinische Friedrich-Wilhelms-Universität Bonn]
Alex Mariakakis,[University of Washington]
Alexander Boden,[Fraunhofer FIT]
Alexander De Luca,[Google Inc.]
Alexander Eiselmayer,"[University of Zurich, Switzerland]"
Alexander G. Mirnig,[University of Salzburg]
Alexander Meschtscherjakov,[University of Salzburg]
Alexander Mirnig,[University of Salzburg]
Alexandra Ion,[ETH Zürich]
Alexandra Papoutsaki,"[Pomona College, USA]"
Alexis Hinker,[University of Washington]
Ali Agha Raza,[LUMS Pakistan]
Alice Oh,[KAIST - School of Computing]
Alisa Burova,[Tampere University]
Alix Goguey,"[Grenoble Alpes University, Grenoble, France, Université Grenoble-Alpes]"
Aluna Everitt,[University of Bristol]
Alvitta Ottley,[Washington University of St. Louis]
Alyssa Rumsey,[Georgia Tech]
Amanda Lazar,"[University of Maryland, College Park]"
Amanda Menking,[U of Toronto]
Amon Rapp,[University of Torino]
Amy Hurst,[NYU]
Amy Pavel,"[Carnegie Mellon, Apple]"
Amy Zhang,[University of Washington]
Ana Tajadura-Jiménez,[Universidad Carlos III de Madrid]
Anastasia Bezerianos,[University of Paris-Saclay]
Andrea Bianchi,[KAIST]
Andrea Bunt,[University of Manitoba]
Andreas Fender,[University of Sussex]
Andreas Riener,[TH Ingolstadt]
Andres Lucero,[Aalto University]
Andrew Howes,[University of Birmingham]
Andrii Matviienko,"[Technical University of Darmstadt, Technical University Darmstadt]"
André Calero Valdez,[RWTH Aachen University]
Andy Cockburn,"[University of Canterbury, Christchurch, New Zealand]"
Andy Wilson,[Microsoft Research]
Aneesha Singh,[University College London]
Angelika Strohmayer,[Northumbria University]
Anhong Guo,[University of Michigan]
Anicia Peters,"[University of Namibia, Namibia University of Science and Technology, Namibia]"
Anind Dey,"[University of Washington, US]"
Anirudha Joshi,"[Indian Institute of Technology Bombay, IIT Bombay]"
Anke Brock,"[ENAC, Université Toulouse, Ecole Nationale de l’Aviation Civie, France]"
Ann Light,"[University of Sussex, UK]"
Anna Cox,"[University College London, UK]"
Anna Maria Feit,[Saarland University]
Anne Roudaut,[University of Bristol]
Annika Hupfeld,"[Eindhoven University of Technology, Netherlands]"
Annika Waern,[Uppsala University]
Annu Sible Prabhakar,[University of Cincinnati]
Anouk van Kasteren,[Utrecht University]
Anthony Pellicone,"[University of Maryland, College Park]"
Antti Oulasvirta,[Aalto University]
Anupriya Tuli,"[IIIT Delhi, India]"
Anusha Withana,"[The University of Sydney, The University of Sydney, Australia, Saarland University, Germany]"
April Tyack,[Aalto University]
Apu Kapadia,[Indiana University]
Aqueasha Martin-Hammond,[Indiana University - Purdue University Indianapolis]
Aske Mottelson,"[University of Copenhagen, Denmark]"
Austin Toombs,[Purdue]
Azza Abouzied,[NYU Abu Dhabi]
Barrett Ens,[Monash University]
Bastian Pfleging,"[TU Bergakademie Freiberg, Eindhoven University of Technology, Netherlands, Eindhoven University of Technology]"
Ben Cowan,"[University College Dublin, Ireland]"
Benjamin Gorman,[Bournemouth University]
Benjamin Hanrahan,[Pennsylvania State University]
Benjamin Tag,[University of Melbourne]
Benjamin Tannert,[City University of Applied Sciences Bremen]
Betsy DiSalvo,[Georgia Tech]
Bill Hamilton,"[New Mexico State University, USA]"
Bingjie Yu,[NetEase]
Bjoern Hartmann,[University of California Berkeley]
Blase Ur,[University of Chicago]
Bongshin Lee,[Microsoft]
Bonnie Nardi,"[UC Irvine, USA]"
Boriana Koleva,"[University of Nottingham, UK]"
Bradley Rey,[University of British Columbia]
Bran Knowles,[Lancaster University]
Brian Bailey,[University of Illinois]
Brian Lim,[National University of Singapore]
Briana Morrison,[University of Nebraska Omaha]
Briane Paul Samson,"[Future University Hakodate, Japan, Future University Hakodate & De La Salle University]"
Briane Paul V. Samson,"[Future University Hakodate, Japan]"
Bruna Petreca,[RCA]
Bryan Semaan,[Syracuse U]
Bum Chul Kwon,[IBM Research]
Byungjoo Lee,[KAIST]
Cale Passmore,"[University of Saskatchewan, University of Saskatchewan, Canada]"
Callum Berger,[University of Nottingham]
Can Liu,"[City University of Hong Kong, City University of Hong Kong, Hong Kong]"
Carine Lallemand,[Eindhoven University of Technology]
Carl Gutwin,[University of Saskatchewan]
Carla Griggio,"[The University of Tokyo, Japan, Aarhus University, Denmark]"
Carman Neustaedter,"[Simon Fraser University, Canada]"
Carol Klyver,[Foundations of Excellence]
Caroline Appert,"[Université Paris-Saclay, CNRS, Université Paris Saclay]"
Carolyn Pang,[McGill University]
Carolyn Rose,[Carnegie Mellon University]
Carrie Cai,[Google]
Carrie Demmans Epp,[University of Alberta]
Casey Dugan,[IBM]
Casey Fiesler,[University of Colorado Boulder]
Casper Harteveld,[Northeastern University]
Catherine Letondal,[Ecole Nationale Aviation Civile]
Cayley MacArthur,"[University of Waterloo, Canada]"
Charles Perin,[University of Victoria]
