name,affiliation
Eddie Kohler,Harvard University
David Maltz,Microsoft
Aditya Akella,UT Austin and Google
Alex C. Snoeren,UC San Diego / Google
Amar Phanishayee,Microsoft Research
Andreas Haeberlen,University of Pennsylvania
Anirudh Sivaraman,NYU
Anna Brunstrom,Karlstad University
Anna Maria Mandalari,University College London
Behnaz Arzani,Microsoft Research
Ben Y. Zhao,University of Chicago
Brad Campbell,University of Virginia
Cecilia Testart,MIT / Georgia Tech
Danyang Zhuo,Duke University
David Choffnes,Northeastern University
Dinesh Bharadia,"University of California, San Diego"
Elizabeth M. Belding,University of California Santa Barbara
Fabián Bustamante,Northwestern University
Fadel Adib,Massachusetts Institute of Technology
Ganesh Ananthanarayanan,Microsoft
Heming Cui,University of Hong Kong
Hitesh Ballani,Microsoft Research
James Hongyi Zeng,Facebook
John Heidemann,University of Southern California
Junchen Jiang,University of Chicago
Justine Sherry,Carnegie Mellon University
K. K. Ramakrishnan,"University of California, Riverside"
Kai Chen,Hong Kong University of Science and Technology
Kate Lin,National Chiao Tung University
Katerina Argyraki,EPFL
Keon Jang,Rubrik and MPI-SWS
Lydia Y. Chen,TU Delft
Maria Gorlatova,Duke University
Michael Schapira,Hebrew University of Jerusalem
Minlan Yu,Harvard University
Neeraja J. Yadwadkar,UT Austin and VMware Research
Noa Zilberman,University of Oxford
Omid Abari,UCLA
Paolo Costa,Microsoft Research
Peter Steenkiste,CMU
Rajesh Balan,Singapore Management University
Ranveer Chandra,Microsoft
Sanjay Rao,Purdue University
Shuai Mu,Stony Brook University
Suman Banerjee,University of Wisconsin -- Madison
Sung-Ju Lee,KAIST
T. S. Eugene Ng,Rice University
Tam Vu,"University of Colorado, Boulder"
Timothy G. Griffin,University of Cambridge
Wen Hu,UNSW
Xiaowei Yang,Duke and Google
Y. Charlie Hu,Purdue University
Yashar Ganjali,"University of Toronto, Huawei Canada"
Yibo Zhu,Google Inc.
Ying Zhang,Facebook
Yingying Chen,Rutgers University
Yiting Xia,Max Planck Institute for Informatics
Yiying Zhang,"University of California, San Diego"
Yu Hua,Huazhong University of Science and Technology
Yunxin Liu,"Institute for AI Industry Research (AIR), Tsinghua University"
Zhizhen Zhong,Massachusetts Institute of Technology
Katerina Argyraki,EPFL
John Heidemann,USC/ISI
Omid Abari,Waterloo
Fadel Adib,MIT
Aditya Akella,UWM
Mark Allman,ICSI
Aruna Balasubramanian,Stony Brook
Hitesh Ballani,Microsoft Research
Paul Barford,UWisc
Theophilus Benson,Brown University
Nathan Bronson,Facebook
Marco Canini,KAUST
Kai Chen,HKUST
Kenjiro Cho,IIJ
Mosharaf Chowdhury,UMich
Nandita Dukkipati,Google
Lars Eggert,NetApp
Kensuke Fukuda,NII
Manya Ghobadi,MIT
Phillipa Gill,UMass Amherst
Krishna Gummadi,MPI-SWS
Dongsu Han,KAIST
Polly Huang,NTU
Te-yuan Huang,Netflix
Kyle Jamieson,Princeton
Keon Jang,MPI-SWS/Google
Mobin Javed,LUMS
Sanjay Jha,U. New South Wales
Junchen Jiang,U. Chicago
Srikanth Kandula,Microsoft Research
Thomas Karagiannis,Microsoft Research
Brad Karp,University College London
Ethan Katz-Bassett,Columbia
Ali Khayam,Amazon
Dejan Kostic,KTH Royal Institute of Technology
Nikos Laoutaris,IMDEA Networks Institute
Simon Leinen,SWITCH
Dan Li,Tsinghua
Chieh-Jan Mike Liang,Microsoft Research
Bruce Maggs,Duke/Akamai
Radhika Mittal,UIUC/MIT
Michael Mitzenmacher,Harvard
Srinivas Narayana,Rutgers
Aurojit Panda,NYU
Zafar Ayyub Qazi,LUMS
Reza Rejaie,U. Oregon
Philippa Richter,MIT
Michael Schapira,Hebrew University of Jerusalem
Ricardo Schmidt,U. Passo Fundo
Srini Seshan,CMU
