name,affiliation
Fritz Henglein,"Department of Computer Science, University of Copenhagen (DIKU), Denmark, General Chair"
Benjamin Delaware,"Purdue University, Artifact Evaluation Co-Chair"
Marco Gaboardi,"University at Buffalo, SUNY, United States, Workshops Co-Chair"
Michael Greenberg,"Pomona College, Publicity Chair"
Cătălin Hriţcu,"Inria Paris, Artifact Evaluation Co-Chair"
Zachary Kincaid,"Princeton University, United States, Workshops Co-Chair"
Hsiang-Shang ‘Josh’ Ko,"National Institute of Informatics, Japan, Website Chair, Taiwan"
Carole Mann,"R.S.L, Registration"
Carlos Mão de Ferro,"LASIGE, Faculty of Sciences, University of Lisbon, Portugal, Student Volunteer Co-Captain"
Alex Sanchez-Stern,"University of California, San Diego, United States, Student Volunteer Co-Captain"
Annabel Satin,"P.C.K., Conference Coordinator, Treasurer"
Vasco T. Vasconcelos,"LASIGE, Faculty of Sciences, University of Lisbon, Portugal, Local Arrangements Chair"
Niki Vazou,"IMDEA Software Institute, Student Research Competition Chair"
David Walker,"Princeton University, United States, Industrial Relations Chair"
Stephanie Weirich,"University of Pennsylvania, USA, Program Chair"
Jakub Zalewski,Video Chair
Aaron Stump,"The University of Iowa, USA, United States"
Alan Jeffrey,"Mozilla Research, United States"
Andreas Abel,"Gothenburg University, Sweden"
Andreas Podelski,"University of Freiburg, Germany, Germany"
Andrew Tolmach,Portland State University
Aws Albarghouthi,University of Wisconsin-Madison
Benjamin Delaware,Purdue University
Claudio Russo,Microsoft Research
Danel Ahman,"University of Ljubljana, Slovenia"
David Naumann,Stevens Institute of Technology
Dimitrios Vytiniotis,"Microsoft Research, Cambridge"
Dominic Orchard,"University of Kent, UK, United Kingdom"
Gabriel Scherer,"INRIA Saclay, France"
Gavin Bierman,"Oracle Labs, United Kingdom"
Heather Miller,Carnegie Mellon University
Hongjin Liang,"Nanjing University, China, China"
Hugo Herbelin,"Ichiro Hasuo, National Institute of Informatics, Japan, Japan"
Ilya Sergey,"Yale-NUS College and National University of Singapore, Singapore"
Jacques Garrigue,"Nagoya University, Japan"
Jan Hoffmann,"Carnegie Mellon University, United States"
Jean-Philippe Bernardy,University of Gothenburg
June Andronick,"Data61,CSIRO (formerly NICTA) and UNSW, Australia"
