name,affiliation
Felix Wolf,Technical University Darmstadt
Sameer Shende,University of Oregon
Kengo Nakajima,"University of Tokyo, RIKEN"
Sivasankaran Rajamanickam,Sandia National Laboratories
Seher Acer,Google LLC
Mark Adams,Lawrence Berkeley National Laboratory (LBNL)
Srinivas Aluru,"Georgia Institute of Technology, School of Computational Science and Engineering"
Hartwig Anzt,"Karlsruhe Institute of Technology (KIT), University of Tennessee"
Anne Benoit,ENS Lyon
Luc Berger-Vergiat,Sandia National Laboratories
Sanjukta Bhowmick,University of North Texas
Tekin Bicer,Argonne National Laboratory (ANL)
George Biros,"University of Texas, Oden Institute"
Jed Brown,University of Colorado
Erin Carson,"Charles University, Czech Republic"
Fabio Checconi,Intel Corporation
Zizhong Chen,"University of California, Riverside"
Jee Choi,University of Oregon
Haipeng Dai,"Nanjing University, China; State Key Laboratory for Novel Software Technology"
Karen Devine,Sandia National Laboratories (retired)
Thomas Dufaud,University of Versailles
Lionel Eyraud-Dubois,"University of Bordeaux, French Institute for Research in Computer Science and Automation (INRIA); LaBRI, France"
Takeshi Fukaya,"Hokkaido University, Japan"
Pieter Ghysels,Lawrence Berkeley National Laboratory (LBNL)
Laura Grigori,Swiss Federal Institute of Technology Lausanne (EPFL)
Azzam Haidar,NVIDIA Corporation
Judith C. Hill,Lawrence Livermore National Laboratory (LLNL)
Toshiyuki Imamura,"RIKEN, RIKEN Center for Computational Science (R-CCS)"
Takeshi Iwashita,"Hokkaido University, Japan"
Peng Jiang,University of Iowa
Kamer Kaya,"Sabancı University, Turkey"
Mariam Kiran,Oak Ridge National Laboratory (ORNL)
Kishore Kothapalli,"International Institute of Information Technology (IIIT), Hyderabad"
Yang Liu,Lawrence Berkeley National Laboratory (LBNL)
Hatem Ltaief,King Abdullah University of Science and Technology (KAUST)
Kamesh Madduri,Pennsylvania State University
Ulrike Meier Yang,Lawrence Livermore National Laboratory (LLNL)
Yusuke Nagasaka,Fujitsu Ltd
Johann Rudi,Argonne National Laboratory (ANL)
Yogish Sabharwal,IBM India Research Laboratory
Piyush Sao,"Oak Ridge National Laboratory (ORNL), Georgia Institute of Technology"
Edgar Solomonik,University of Illinois
Hari Sundar,University of Utah
Toyotaro Suzumura,University of Tokyo
Jonas Thies,"Delft University of Technology, Delft Institute of Applied Mathematics"
Parimala Thulasiraman,University of Manitoba
Jesmin Jahan Tithi,Intel Corporation
Rio Yokota,Tokyo Institute of Technology
Alba Cristina Magalhaes Alves de Melo,University of Brasilia
