dblp_id,dblp_url,affiliations,aid,name
135/5731,https://dblp.org/pid/135/5731.html,['Unknown'],55,Alireza Nouri
345/1994,https://dblp.org/pid/345/1994.html,['Meta Inc.'],93,Ankit Jain
162/0187,https://dblp.org/pid/162/0187.html,"['Emory University', 'EMORY UNIVERSITY']",204,Carl Yang
226/0948,https://dblp.org/pid/226/0948.html,['Unknown'],288,Chuan-Wei Kuo
259/9672,https://dblp.org/pid/259/9672.html,['Unknown'],308,Connor Simpson
195/5507,https://dblp.org/pid/195/5507.html,['LinkedIn'],354,Dawn Woodard
358/4023,https://dblp.org/pid/358/4023.html,['Unknown'],368,Dian Chen
84/5915,https://dblp.org/pid/84/5915.html,['Rutgers University'],382,Dong Deng
164/2507,https://dblp.org/pid/164/2507.html,['Concordia University'],429,Essam Mansour
163/2899,https://dblp.org/pid/163/2899.html,"['Assistant Professor', 'Tsinghua University', 'China']",564,Han Qiu
14/10780,https://dblp.org/pid/14/10780.html,['Boston University'],596,Harshal Chaudhari
147/4352,https://dblp.org/pid/147/4352.html,"['Roskilde University', 'Aalborg University']",641,Hua Lu
175/5495,https://dblp.org/pid/175/5495.html,['Aalborg University'],645,Huan Li
99/9620,https://dblp.org/pid/99/9620.html,['Unknown'],827,Joohun Kim
138/3060,https://dblp.org/pid/138/3060.html,['Unknown'],854,Jungwoo Son
123/0437,https://dblp.org/pid/123/0437.html,['University of Pennsylvania'],901,Kefei Liu
65/9544,https://dblp.org/pid/65/9544.html,['The Hong Kong University of Science and Technology'],982,Lifeng Shen
221/7978,https://dblp.org/pid/221/7978.html,['Unknown'],1010,Lisa Fischer
309/5087,https://dblp.org/pid/309/5087.html,['Unknown'],1033,Lu Niu
344/6017,https://dblp.org/pid/344/6017.html,['Unknown'],1101,Matheus Araujo
290/1459,https://dblp.org/pid/290/1459.html,['Unknown'],1117,Md. Mahin
07/5349,https://dblp.org/pid/07/5349.html,['Unknown'],1182,Monica Bian
137/3301,https://dblp.org/pid/137/3301.html,['Unknown'],1191,Murat Ayhan
221/2347,https://dblp.org/pid/221/2347.html,['Unknown'],1274,Pasquadibisceglie
351/4141,https://dblp.org/pid/351/4141.html,['Unknown'],1276,Patrick Flynn
56/3293,https://dblp.org/pid/56/3293.html,['Beijing Jiaotong University'],1292,Peng Bao
354/9669,https://dblp.org/pid/354/9669.html,['Carnegie Mellon University'],1318,Praveen Kolli
190/7416,https://dblp.org/pid/190/7416.html,['Lawrence Livermore National Laboratory'],1344,Quan M. Bui
203/0202,https://dblp.org/pid/203/0202.html,['Google'],1372,Reshul Dani
336/3880,https://dblp.org/pid/336/3880.html,['Unknown'],1445,Sanghwan Jang
251/5969,https://dblp.org/pid/251/5969.html,['Unknown'],1467,Segundo
350/4093,https://dblp.org/pid/350/4093.html,['Unknown'],1504,Shi-ang Qi
316/4776,https://dblp.org/pid/316/4776.html,"['University of California', 'Los Angeles']",1517,Shirley Chen
312/2447,https://dblp.org/pid/312/2447.html,['Unknown'],1613,Suryani
326/0207,https://dblp.org/pid/326/0207.html,['Unknown'],1688,Vatsal P
254/0564,https://dblp.org/pid/254/0564.html,['Unknown'],1732,Weilun Wu
335/3705,https://dblp.org/pid/335/3705.html,['Unknown'],1861,Xunsheng Cai
319/2742,https://dblp.org/pid/319/2742.html,['Unknown'],1922,Yi-Fan Ma
75/6027,https://dblp.org/pid/75/6027.html,['Unknown'],1923,Yi-Feng Lin
03/9286,https://dblp.org/pid/03/9286.html,"['Associate Professor', 'San Jose State University', 'USA']",1965,Younghe Park
99/7826,https://dblp.org/pid/99/7826.html,['Unknown'],2006,YunSheng Tsai
232/5620,https://dblp.org/pid/232/5620.html,['Unknown'],2058,Zhi-Yu Shen
254/8864,https://dblp.org/pid/254/8864.html,['Unknown'],2070,Zhiyun Peng
