57/5363,204/7137,8
57/5363,61/2408,2
57/5363,07/7129,8
57/5363,90/5204,4
57/5363,121/2036,12
57/5363,m/KathleenMcKeown,4
57/5363,220/2026,26
57/5363,47/3133,2
57/5363,166/1740,4
57/5363,57/5950,2
57/5363,r/DanRoth,2
57/5363,185/0950,8
57/5363,49/7109,4
57/5363,46/4886,8
57/5363,53/6625,2
57/5363,164/6090,4
57/5363,184/3753,2
57/5363,40/1266,4
204/7137,05/595,2
204/7137,03/8155,4
204/7137,61/2408,2
204/7137,83/8117,2
05/595,03/8155,8
05/595,38/9282,4
05/595,41/6895,2
05/595,92/5339,12
05/595,64/6843,2
05/595,h/DilekZHakkaniTur,2
05/595,27/3780,4
05/595,i/NancyIde,6
05/595,69/4492,4
05/595,06/4775,4
05/595,75/8157,2
05/595,31/739,2
05/595,95/1344,2
05/595,82/3447,2
05/595,26/1652,4
05/595,00/4847,6
05/595,60/3996,4
05/595,s/RuihuaSong,2
03/8155,07/7129,8
03/8155,38/9282,26
03/8155,176/5185,6
03/8155,41/6895,26
03/8155,117/4050,4
03/8155,117/4804,6
03/8155,89/233-1,2
03/8155,58/3217,18
03/8155,07/9769,6
03/8155,38/8065,6
03/8155,131/6883,2
03/8155,90/5204,8
03/8155,29/4187,4
03/8155,186/7066,32
03/8155,121/2036,2
03/8155,66/4613,14
03/8155,94/8323,2
03/8155,68/5296,10
03/8155,11/4619,2
03/8155,192/1872,6
03/8155,21/6793,6
03/8155,18/3348-1,4
03/8155,m/KathleenMcKeown,2
03/8155,17/1494,10
03/8155,73/5938,6
03/8155,136/8705,6
03/8155,65/4863,8
03/8155,24/6740,18
03/8155,79/7927,2
03/8155,54/9012,6
03/8155,00/8341,4
03/8155,39/3245-1,10
03/8155,147/9148,4
03/8155,92/5339,4
03/8155,120/0365,22
03/8155,164/5848,10
03/8155,f/MarcelloFederico,4
03/8155,57/8503,2
03/8155,84/4538,10
03/8155,99/6601,2
03/8155,32/1213-4,6
03/8155,48/2932,2
03/8155,15/4305,4
03/8155,57/5950,8
03/8155,23/2900,2
03/8155,m/AndreFTMartins,44
03/8155,12/8213,10
