id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
176/5185,Adhi Kuncoro,<h2><b>Adhi Kuncoro</b></h2><h3>dblp_id: 176/5185</h3><h3>DBLP URL: <a href='https://dblp.org/pid/176/5185'>https://dblp.org/pid/176/5185</a></h3><h3>Affiliation: University of Oxford and DeepMind</h3>,https://dblp.org/pid/176/5185,-0.4783,0.7922,1,314,12385
204/7137,Aakanksha Naik,<h2><b>Aakanksha Naik</b></h2><h3>dblp_id: 204/7137</h3><h3>DBLP URL: <a href='https://dblp.org/pid/204/7137'>https://dblp.org/pid/204/7137</a></h3><h3>Affiliation: Carnegie Mellon University (CMU)</h3>,https://dblp.org/pid/204/7137,0.2785,0.4313,1,159,1971
147/9148,Ahmed Hassan Awadallah,<h2><b>Ahmed Hassan Awadallah</b></h2><h3>dblp_id: 147/9148</h3><h3>DBLP URL: <a href='https://dblp.org/pid/147/9148'>https://dblp.org/pid/147/9148</a></h3><h3>Affiliation: Microsoft Research</h3>,https://dblp.org/pid/147/9148,0.9463,0.3901,1,270,9487
47/3133,Alan Ritter,"<h2><b>Alan Ritter</b></h2><h3>dblp_id: 47/3133</h3><h3>DBLP URL: <a href='https://dblp.org/pid/47/3133'>https://dblp.org/pid/47/3133</a></h3><h3>Affiliation: Georgia Institute of Technology (USA), Georgia Institute of Technology, Georgia Institute of Technology (Senior Chair), Unknown</h3>",https://dblp.org/pid/47/3133,0.381,0.4648,1,373,11583
24/6740,Alexandra Birch,<h2><b>Alexandra Birch</b></h2><h3>dblp_id: 24/6740</h3><h3>DBLP URL: <a href='https://dblp.org/pid/24/6740'>https://dblp.org/pid/24/6740</a></h3><h3>Affiliation: University of Edinburgh (Senior Chair)</h3>,https://dblp.org/pid/24/6740,-0.6392,0.3432,4,340,18566
17/1494,Alexis Palmer,"<h2><b>Alexis Palmer</b></h2><h3>dblp_id: 17/1494</h3><h3>DBLP URL: <a href='https://dblp.org/pid/17/1494'>https://dblp.org/pid/17/1494</a></h3><h3>Affiliation: University of Colorado Boulder, University of North Texas</h3>",https://dblp.org/pid/17/1494,-0.1258,-0.0156,4,306,5750
69/2756,Amanda Stent,"<h2><b>Amanda Stent</b></h2><h3>dblp_id: 69/2756</h3><h3>DBLP URL: <a href='https://dblp.org/pid/69/2756'>https://dblp.org/pid/69/2756</a></h3><h3>Affiliation: Colby College, USA, Unknown</h3>",https://dblp.org/pid/69/2756,0.3485,-0.0917,1,317,5020
185/0950,Ana Marasovic,<h2><b>Ana Marasovic</b></h2><h3>dblp_id: 185/0950</h3><h3>DBLP URL: <a href='https://dblp.org/pid/185/0950'>https://dblp.org/pid/185/0950</a></h3><h3>Affiliation: University of Utah</h3>,https://dblp.org/pid/185/0950,-0.1041,0.7907,1,271,7275
m/AndreFTMartins,Andre Martins,<h2><b>Andre Martins</b></h2><h3>dblp_id: m/AndreFTMartins</h3><h3>DBLP URL: <a href='https://dblp.org/pid/m/AndreFTMartins'>https://dblp.org/pid/m/AndreFTMartins</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/m/AndreFTMartins,-0.3491,0.5169,4,361,56904
49/7109,Andrew Yates,"<h2><b>Andrew Yates</b></h2><h3>dblp_id: 49/7109</h3><h3>DBLP URL: <a href='https://dblp.org/pid/49/7109'>https://dblp.org/pid/49/7109</a></h3><h3>Affiliation: Max Planck Institute for Informatics (Senior Chair), Unknown</h3>",https://dblp.org/pid/49/7109,0.4491,-0.4893,3,88,1853
82/6572,Anette Frank,<h2><b>Anette Frank</b></h2><h3>dblp_id: 82/6572</h3><h3>DBLP URL: <a href='https://dblp.org/pid/82/6572'>https://dblp.org/pid/82/6572</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/82/6572,-0.8246,-0.4163,5,245,4259
192/1872,Angela Fan,<h2><b>Angela Fan</b></h2><h3>dblp_id: 192/1872</h3><h3>DBLP URL: <a href='https://dblp.org/pid/192/1872'>https://dblp.org/pid/192/1872</a></h3><h3>Affiliation: Facebook AI Research</h3>,https://dblp.org/pid/192/1872,-0.556,0.4767,4,458,17196
26/9012,Ashish Vaswani,<h2><b>Ashish Vaswani</b></h2><h3>dblp_id: 26/9012</h3><h3>DBLP URL: <a href='https://dblp.org/pid/26/9012'>https://dblp.org/pid/26/9012</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/26/9012,0.2512,0.2629,1,304,5449
142/9150,Aston Zhang,<h2><b>Aston Zhang</b></h2><h3>dblp_id: 142/9150</h3><h3>DBLP URL: <a href='https://dblp.org/pid/142/9150'>https://dblp.org/pid/142/9150</a></h3><h3>Affiliation: AWS AI</h3>,https://dblp.org/pid/142/9150,0.5327,-0.1737,3,154,2902
07/10489,Avi Sil,<h2><b>Avi Sil</b></h2><h3>dblp_id: 07/10489</h3><h3>DBLP URL: <a href='https://dblp.org/pid/07/10489'>https://dblp.org/pid/07/10489</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/07/10489,0.4413,0.1228,1,303,31236
91/6051,Baobao Chang,"<h2><b>Baobao Chang</b></h2><h3>dblp_id: 91/6051</h3><h3>DBLP URL: <a href='https://dblp.org/pid/91/6051'>https://dblp.org/pid/91/6051</a></h3><h3>Affiliation: Institute of Computational Linguistic, Peking University</h3>",https://dblp.org/pid/91/6051,0.9254,-0.1627,3,169,4746
06/4775,Benjamin van Durme,"<h2><b>Benjamin van Durme</b></h2><h3>dblp_id: 06/4775</h3><h3>DBLP URL: <a href='https://dblp.org/pid/06/4775'>https://dblp.org/pid/06/4775</a></h3><h3>Affiliation: Johns Hopkins University, USA</h3>",https://dblp.org/pid/06/4775,0.0294,0.283,1,457,13397
78/6527,Bhavana Dalvi,<h2><b>Bhavana Dalvi</b></h2><h3>dblp_id: 78/6527</h3><h3>DBLP URL: <a href='https://dblp.org/pid/78/6527'>https://dblp.org/pid/78/6527</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/78/6527,0.403,0.7053,1,198,5422
60/3996,Bhiksha Raj,<h2><b>Bhiksha Raj</b></h2><h3>dblp_id: 60/3996</h3><h3>DBLP URL: <a href='https://dblp.org/pid/60/3996'>https://dblp.org/pid/60/3996</a></h3><h3>Affiliation: Carnegie Mellon University</h3>,https://dblp.org/pid/60/3996,0.7503,0.3755,1,105,1336
