176/5185,204/7137,10
176/5185,147/9148,16
176/5185,47/3133,4
176/5185,24/6740,100
176/5185,17/1494,32
176/5185,185/0950,44
176/5185,m/AndreFTMartins,304
176/5185,192/1872,18
176/5185,26/9012,78
176/5185,07/10489,40
176/5185,06/4775,58
176/5185,191/6056,12
176/5185,11/7536,14
176/5185,41/6895,648
176/5185,c/ClaireCardie,34
176/5185,99/6601,32
176/5185,117/4050,140
176/5185,r/DanRoth,108
176/5185,117/4804,158
176/5185,71/10515,34
176/5185,192/7349,38
176/5185,89/233-1,114
176/5185,180/5443,110
176/5185,48/2932,8
176/5185,h/DilekZHakkaniTur,12
176/5185,57/5363,30
176/5185,141/4059,24
176/5185,27/7720,10
176/5185,05/595,58
176/5185,26/1652,74
176/5185,166/1740,34
176/5185,03/8155,250
176/5185,25/1145,8
176/5185,164/6090,20
176/5185,73/5938,12
176/5185,61/2408,4
176/5185,75/3612,12
176/5185,97/8317,20
176/5185,93/11424,64
176/5185,40/7871,10
176/5185,220/2026,36
176/5185,97/8154,48
176/5185,120/0365,36
176/5185,92/5339,74
176/5185,164/5848,16
176/5185,31/8178,38
176/5185,00/4758,30
176/5185,57/5950,14
176/5185,h/JuliaHirschberg,12
176/5185,64/2448,4
176/5185,182/2180,22
176/5185,18/1071-1,18
176/5185,184/3742,6
176/5185,15/3724,32
176/5185,63/7183,6
176/5185,149/0082,46
176/5185,31/985,18
176/5185,82/8159,52
176/5185,70/11145,60
176/5185,136/9140,28
176/5185,89/9058,188
176/5185,116/2765,6
176/5185,85/6201,4
176/5185,82/2305,94
176/5185,83/6818,18
176/5185,37/6580,24
176/5185,00/7739,56
176/5185,17/8156,72
176/5185,c/JoyceYChai,10
176/5185,78/6923,16
176/5185,79/9656,142
176/5185,80/8411,80
176/5185,66/1016,24
176/5185,10/1481,480
176/5185,95/8314,46
176/5185,19/11430,6
176/5185,82/1906,4
176/5185,08/8178,270
176/5185,95/2272,42
176/5185,153/2253,18
176/5185,64/1350-4,42
176/5185,52/1296,56
176/5185,146/3824,18
176/5185,49/11425,124
176/5185,130/2863,10
176/5185,68/1974-1,16
176/5185,199/2104,20
176/5185,153/9556,130
176/5185,03/6734,6
176/5185,67/9012,148
176/5185,203/8709,14
176/5185,08/4162,10
176/5185,30/2756,78
176/5185,174/2905,166
176/5185,203/9599,12
176/5185,14/6532,30
176/5185,203/9462,72
176/5185,32/10934,12
176/5185,26/812,8
176/5185,46/521,22
176/5185,12/5915,88
176/5185,59/4391,28
176/5185,b/WilliamJByrne,14
176/5185,86/5934,16
176/5185,95/4733,4
176/5185,09/246,4
176/5185,80/7282,32
176/5185,32/8155,6
176/5185,49/3976,14
176/5185,125/5045,54
176/5185,55/4410,36
176/5185,51/844,6
176/5185,39/5799,106
176/5185,68/3485,32
176/5185,55/6548,6
176/5185,184/8838,6
176/5185,127/0172,16
176/5185,19/1467,14
176/5185,91/102-2,14
176/5185,178/8829,12
176/5185,09/7859,20
176/5185,33/8156,6
176/5185,153/5568,100
176/5185,18/11004,8
176/5185,r/ERiloff,4
176/5185,213/7927,6
176/5185,a/EnekoAgirre,34
176/5185,13/3601,4
176/5185,02/2684,4
176/5185,t/FrancescaToni,6
176/5185,05/2701,6
176/5185,02/1712,4
176/5185,41/1198,48
176/5185,57/5129,440
176/5185,50/11059,14
176/5185,69/7968,4
176/5185,19/1379,8
176/5185,19/70,4
176/5185,01/963,6
176/5185,06/2484-2,16
176/5185,s/HinrichSchutze,352
176/5185,36/2688,26
176/5185,95/8151,6
176/5185,08/5391,8
176/5185,77/9768,312
176/5185,h/JamesHenderson,32
176/5185,47/7442,8
176/5185,32/9014,70
176/5185,154/8222,16
176/5185,n/JoakimNivre,62
176/5185,169/9776,4
176/5185,165/0790,64
176/5185,18/2428,4
176/5185,b/KalinaBontcheva,12
176/5185,51/2464,34
176/5185,07/6465,34
176/5185,07/11293,3
176/5185,m/KathleenMcKeown,31
176/5185,95/1344,31
176/5185,18/141,2
176/5185,c/KennethWardChurch,4
176/5185,90/3315,44
176/5185,121/7560,34
176/5185,58/3217,89
176/5185,47/1252,76
176/5185,82/6573,3
176/5185,22/918,3
176/5185,29/2006,73
176/5185,117/4041,25
176/5185,63/3922,19
176/5185,03/5847-1,7
176/5185,184/3753,15
176/5185,136/3610,16
176/5185,86/7823,12
176/5185,94/106,3
176/5185,31/739,17
176/5185,23/2900,48
176/5185,44/9922,3
176/5185,162/1557,6
176/5185,21/6793,76
176/5185,163/2171,5
176/5185,07/9769,116
176/5185,79/125,5
176/5185,218/6430,7
176/5185,f/MarcelloFederico,31
176/5185,153/6920,3
176/5185,79/7927,4
176/5185,136/9233,10
176/5185,56/2856,9
176/5185,65/6264,12
176/5185,53/1712,2
176/5185,36/6578,2
176/5185,71/1827,13
176/5185,50/10813,10
176/5185,d/MarkDras,3
176/5185,70/3186,6
176/5185,75/6632-1,24
176/5185,37/4227,7
176/5185,57/8503,11
176/5185,17/2183,40
176/5185,00/8046,19
176/5185,61/10435,5
176/5185,30/6391,2
