name,affiliation
Aaron Courville,Unknown
Abhinav Gupta,Unknown
Adrian Weller,Unknown
Aleksander Madry,Unknown
Alexander C. Berg,Unknown
Alexander M Rush,Unknown
Anima Anandkumar,Unknown
Anna Rumshisky,Unknown
Arindam Banerjee,Unknown
Ashish Kapoor,Unknown
Barbara Engelhardt,Unknown
Bo Dai,Unknown
Brian Kulis,Unknown
Ce Zhang,Unknown
Celestine Mendler-Dünner,Unknown
Chelsea Finn,Unknown
Christopher Pal,Unknown
Claire Monteleoni,Unknown
Colin White,Unknown
Corinna Cortes,Unknown
Dale Schuurmans,Unknown
Daniel Tarlow,Unknown
Daniel Hsu,Unknown
Danqi Chen,Unknown
Dima Damen,Unknown
Elad Hazan,Unknown
Elias Bareinboim,Unknown
Fei Sha,Unknown
Fernando Perez-Cruz,Unknown
Finale Doshi-Velez,Unknown
Fisher Yu,Unknown
Florence d'Alché-Buc,Unknown
Francesco Orabona,Unknown
Frank Hutter,Unknown
Gal Chechik,Unknown
Georgia Gkioxari,Unknown
Graham W. Taylor,Unknown
Hang Li,Unknown
Honglak Lee,Unknown
Iddo Drori,Unknown
Inderjit S Dhillon,Unknown
Isabel Valera,Unknown
J Zico Kolter,Unknown
Jakob Nicolaus Foerster,Unknown
James Kwok,Unknown
Jane X Wang,Unknown
Jeff Bilmes,Unknown
Jerry Zhu,Unknown
Jinwoo Shin,Unknown
Jitendra Malik,Unknown
Joan Bruna,Unknown
Joao Gama,Unknown
Juergen Gall,Unknown
Julian McAuley,Unknown
Kai-Wei Chang,Unknown
Kaiming He,Unknown
Katherine A Heller,Unknown
Kilian Q Weinberger,Unknown
Krzysztof Marcin Choromanski,Unknown
Laurens van der Maaten,Unknown
Lester Mackey,Unknown
Lihong Li,Unknown
Lisa Anne Hendricks,Unknown
Ludwig Schmidt,Unknown
Luke Zettlemoyer,Unknown
Madeleine Udell,Unknown
Manik Varma,Unknown
Mario A. T. Figueiredo,Unknown
Maryam Fazel,Unknown
Marzyeh Ghassemi,Unknown
Masashi Sugiyama,Unknown
Matthew Douglas Hoffman,Unknown
Mehryar Mohri,Unknown
Mengdi Wang,Unknown
Michael W. Mahoney,Unknown
Ming-Hsuan Yang,Unknown
Mingsheng Long,Unknown
Mirella Lapata,Unknown
Mohammad Emtiyaz Khan,Unknown
Nicolas Le Roux,Unknown
Nicolas Usunier,Unknown
Nuria M Oliver,Unknown
Peter Stone,Unknown
Philip S. Yu,Unknown
Piotr Koniusz,Unknown
Pradeep Kumar Ravikumar,Unknown
Quanquan Gu,Unknown
Radu Timofte,Unknown
Ricardo Silva,Unknown
Roger Baker Grosse,Unknown
Rong Ge,Unknown
Ruth Urner,Unknown
Samuel Kaski,Unknown
Samy Bengio,Unknown
Sanjiv Kumar,Unknown
Scott Niekum,Unknown
Sergio Escalera,Unknown
Shie Mannor,Unknown
Stefano Ermon,Unknown
Stephan Günnemann,Unknown
Suriya Gunasekar,Unknown
Surya Ganguli,Unknown
Suvrit Sra,Unknown
Thomas L. Griffiths,Unknown
Tie-Yan Liu,Unknown
Tim Rocktäschel,Unknown
Vittorio Murino,Unknown
Vladlen Koltun,Unknown
Wei Wang,Unknown
Wieland Brendel,Unknown
Yair Weiss,Unknown
Yiannis Aloimonos,Unknown
Yishay Mansour,Unknown
Yoav Artzi,Unknown
Yu Wang,Unknown
Yu Cheng,Unknown
Yulia Gel,Unknown
Zeynep Akata,Unknown
Zhouchen Lin,Unknown
marco cuturi,Unknown
srinivasan parthasarathy,Unknown
ali borji,Unknown
Zheng Xu,Unknown
Yunchao Wei,Unknown
Yu Qiao,Unknown
Yoshitaka Ushiku,Unknown
Yifan Peng,Unknown
Yi Wu,Unknown
Yefeng Zheng,Unknown
YVES LE TRAON,Unknown
Xifeng Yan,Unknown
Xiao Xiang Zhu,Unknown
Xiaodong Liu,Unknown
Wenqi Ren,Unknown
Weiyao Wang,Unknown
Vittorio Ferrari,Unknown
Visvanathan Ramesh,Unknown
Victor Sanh,Unknown
Titouan Parcollet,Unknown
Tatiana Likhomanenko,Unknown
Taesung Park,Unknown
Tae-Hyun Oh,Unknown
Suhang Wang,Unknown
Subbarao Kambhampati,Unknown
