id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
57/5363,Doug Downey,"<h2><b>Doug Downey</b></h2><h3>dblp_id: 57/5363</h3><h3>DBLP URL: <a href='https://dblp.org/pid/57/5363'>https://dblp.org/pid/57/5363</a></h3><h3>Affiliation: Allen Institute for AI, Northwestern University, Unknown</h3>",https://dblp.org/pid/57/5363,0.2265,0.603,1,18,106
204/7137,Aakanksha Naik,<h2><b>Aakanksha Naik</b></h2><h3>dblp_id: 204/7137</h3><h3>DBLP URL: <a href='https://dblp.org/pid/204/7137'>https://dblp.org/pid/204/7137</a></h3><h3>Affiliation: Carnegie Mellon University (CMU)</h3>,https://dblp.org/pid/204/7137,0.2785,0.4313,8,5,18
05/595,Eric Nyberg,<h2><b>Eric Nyberg</b></h2><h3>dblp_id: 05/595</h3><h3>DBLP URL: <a href='https://dblp.org/pid/05/595'>https://dblp.org/pid/05/595</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/05/595,0.5453,0.6808,8,19,74
03/8155,Graham Neubig,"<h2><b>Graham Neubig</b></h2><h3>dblp_id: 03/8155</h3><h3>DBLP URL: <a href='https://dblp.org/pid/03/8155'>https://dblp.org/pid/03/8155</a></h3><h3>Affiliation: Carnegie Mellon University, USA, Unknown</h3>",https://dblp.org/pid/03/8155,-0.1454,0.4217,8,85,1046
61/2408,Heng Ji,"<h2><b>Heng Ji</b></h2><h3>dblp_id: 61/2408</h3><h3>DBLP URL: <a href='https://dblp.org/pid/61/2408'>https://dblp.org/pid/61/2408</a></h3><h3>Affiliation: University of Illinois at Urbana-Champaign, USA, Unknown</h3>",https://dblp.org/pid/61/2408,0.4837,-0.0312,2,58,510
83/8117,Tushar Khot,<h2><b>Tushar Khot</b></h2><h3>dblp_id: 83/8117</h3><h3>DBLP URL: <a href='https://dblp.org/pid/83/8117'>https://dblp.org/pid/83/8117</a></h3><h3>Affiliation: Allen Institute for AI</h3>,https://dblp.org/pid/83/8117,0.0666,0.7054,2,13,120
69/2756,Amanda Stent,"<h2><b>Amanda Stent</b></h2><h3>dblp_id: 69/2756</h3><h3>DBLP URL: <a href='https://dblp.org/pid/69/2756'>https://dblp.org/pid/69/2756</a></h3><h3>Affiliation: Colby College, USA, Unknown</h3>",https://dblp.org/pid/69/2756,0.3485,-0.0917,2,19,96
115/5870,Aasish Pappu,<h2><b>Aasish Pappu</b></h2><h3>dblp_id: 115/5870</h3><h3>DBLP URL: <a href='https://dblp.org/pid/115/5870'>https://dblp.org/pid/115/5870</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/115/5870,0.5549,0.4182,7,8,54
03/9769,Ann Clifton,<h2><b>Ann Clifton</b></h2><h3>dblp_id: 03/9769</h3><h3>DBLP URL: <a href='https://dblp.org/pid/03/9769'>https://dblp.org/pid/03/9769</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/03/9769,0.2087,-0.3984,7,2,24
81/4050,Gareth Jones,<h2><b>Gareth Jones</b></h2><h3>dblp_id: 81/4050</h3><h3>DBLP URL: <a href='https://dblp.org/pid/81/4050'>https://dblp.org/pid/81/4050</a></h3><h3>Affiliation: Dublin City University</h3>,https://dblp.org/pid/81/4050,-0.4288,-0.5453,7,18,140
40/4518,Joel Tetreault,"<h2><b>Joel Tetreault</b></h2><h3>dblp_id: 40/4518</h3><h3>DBLP URL: <a href='https://dblp.org/pid/40/4518'>https://dblp.org/pid/40/4518</a></h3><h3>Affiliation: Dataminr, USA, Dataminr, Dataminr, Inc., Unknown</h3>",https://dblp.org/pid/40/4518,0.2033,-0.2946,7,41,156
65/3453,Matthew Marge,<h2><b>Matthew Marge</b></h2><h3>dblp_id: 65/3453</h3><h3>DBLP URL: <a href='https://dblp.org/pid/65/3453'>https://dblp.org/pid/65/3453</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/65/3453,0.6937,0.2678,14,13,100
07/7129,Scott Wen-tau Yih,"<h2><b>Scott Wen-tau Yih</b></h2><h3>dblp_id: 07/7129</h3><h3>DBLP URL: <a href='https://dblp.org/pid/07/7129'>https://dblp.org/pid/07/7129</a></h3><h3>Affiliation: Facebook AI Research, Facebook</h3>",https://dblp.org/pid/07/7129,0.2906,0.6974,1,44,804
29/3671,Sungjin Lee,<h2><b>Sungjin Lee</b></h2><h3>dblp_id: 29/3671</h3><h3>DBLP URL: <a href='https://dblp.org/pid/29/3671'>https://dblp.org/pid/29/3671</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/29/3671,0.9398,0.6157,9,11,74
04/9878,Vivian Chen,"<h2><b>Vivian Chen</b></h2><h3>dblp_id: 04/9878</h3><h3>DBLP URL: <a href='https://dblp.org/pid/04/9878'>https://dblp.org/pid/04/9878</a></h3><h3>Affiliation: National Taiwan University, China</h3>",https://dblp.org/pid/04/9878,0.8627,0.5489,9,12,300
00/9012,Jackie Chi Kit Cheung,"<h2><b>Jackie Chi Kit Cheung</b></h2><h3>dblp_id: 00/9012</h3><h3>DBLP URL: <a href='https://dblp.org/pid/00/9012'>https://dblp.org/pid/00/9012</a></h3><h3>Affiliation: Mila / McGill University, McGill University, Canada, Unknown</h3>",https://dblp.org/pid/00/9012,0.679,-0.1826,5,29,140
177/9137,Adam Trischler,<h2><b>Adam Trischler</b></h2><h3>dblp_id: 177/9137</h3><h3>DBLP URL: <a href='https://dblp.org/pid/177/9137'>https://dblp.org/pid/177/9137</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/177/9137,0.2403,-0.2073,5,5,48
148/9178,Mohit Iyyer,"<h2><b>Mohit Iyyer</b></h2><h3>dblp_id: 148/9178</h3><h3>DBLP URL: <a href='https://dblp.org/pid/148/9178'>https://dblp.org/pid/148/9178</a></h3><h3>Affiliation: University of Massachusetts Amherst (Senior Chair), Unknown</h3>",https://dblp.org/pid/148/9178,0.3989,0.8647,1,28,172
182/2034,Su Lin Blodgett,"<h2><b>Su Lin Blodgett</b></h2><h3>dblp_id: 182/2034</h3><h3>DBLP URL: <a href='https://dblp.org/pid/182/2034'>https://dblp.org/pid/182/2034</a></h3><h3>Affiliation: Microsoft Research Montréal, Canada, Microsoft Research</h3>",https://dblp.org/pid/182/2034,-0.2037,1.1189,1,8,54
188/6350,Yi Tay,"<h2><b>Yi Tay</b></h2><h3>dblp_id: 188/6350</h3><h3>DBLP URL: <a href='https://dblp.org/pid/188/6350'>https://dblp.org/pid/188/6350</a></h3><h3>Affiliation: Google, Unknown</h3>",https://dblp.org/pid/188/6350,0.0894,0.3417,15,18,332
38/9282,Yonatan Bisk,"<h2><b>Yonatan Bisk</b></h2><h3>dblp_id: 38/9282</h3><h3>DBLP URL: <a href='https://dblp.org/pid/38/9282'>https://dblp.org/pid/38/9282</a></h3><h3>Affiliation: Carnegie Mellon University (USA), Carnegie Mellon University, CMU, Unknown</h3>",https://dblp.org/pid/38/9282,0.5182,0.7828,9,28,202
153/9556,Aida Nematzadeh,"<h2><b>Aida Nematzadeh</b></h2><h3>dblp_id: 153/9556</h3><h3>DBLP URL: <a href='https://dblp.org/pid/153/9556'>https://dblp.org/pid/153/9556</a></h3><h3>Affiliation: DeepMind, Unknown</h3>",https://dblp.org/pid/153/9556,-0.5936,0.9211,1,12,90
176/5185,Adhi Kuncoro,<h2><b>Adhi Kuncoro</b></h2><h3>dblp_id: 176/5185</h3><h3>DBLP URL: <a href='https://dblp.org/pid/176/5185'>https://dblp.org/pid/176/5185</a></h3><h3>Affiliation: University of Oxford and DeepMind</h3>,https://dblp.org/pid/176/5185,-0.4783,0.7922,1,25,188
67/9012,Alexander Rush,<h2><b>Alexander Rush</b></h2><h3>dblp_id: 67/9012</h3><h3>DBLP URL: <a href='https://dblp.org/pid/67/9012'>https://dblp.org/pid/67/9012</a></h3><h3>Affiliation: Cornell University</h3>,https://dblp.org/pid/67/9012,-0.0969,0.6363,1,34,264
79/9656,Angeliki Lazaridou,"<h2><b>Angeliki Lazaridou</b></h2><h3>dblp_id: 79/9656</h3><h3>DBLP URL: <a href='https://dblp.org/pid/79/9656'>https://dblp.org/pid/79/9656</a></h3><h3>Affiliation: DeepMind, USA, DeepMind (Senior Chair), Unknown</h3>",https://dblp.org/pid/79/9656,-0.5976,0.745,1,27,108
41/6895,Chris Dyer,<h2><b>Chris Dyer</b></h2><h3>dblp_id: 41/6895</h3><h3>DBLP URL: <a href='https://dblp.org/pid/41/6895'>https://dblp.org/pid/41/6895</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/41/6895,-0.3334,0.8235,1,64,818
117/4050,Dan Garrette,<h2><b>Dan Garrette</b></h2><h3>dblp_id: 117/4050</h3><h3>DBLP URL: <a href='https://dblp.org/pid/117/4050'>https://dblp.org/pid/117/4050</a></h3><h3>Affiliation: Google Research</h3>,https://dblp.org/pid/117/4050,-0.2629,0.7026,1,28,84
08/8178,Dani Yogatama,<h2><b>Dani Yogatama</b></h2><h3>dblp_id: 08/8178</h3><h3>DBLP URL: <a href='https://dblp.org/pid/08/8178'>https://dblp.org/pid/08/8178</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/08/8178,-0.4431,1.0108,1,28,250
117/4804,Daniel Fried,<h2><b>Daniel Fried</b></h2><h3>dblp_id: 117/4804</h3><h3>DBLP URL: <a href='https://dblp.org/pid/117/4804'>https://dblp.org/pid/117/4804</a></h3><h3>Affiliation: Facebook AI</h3>,https://dblp.org/pid/117/4804,0.0471,1.0557,1,22,150
89/233-1,David Chiang,"<h2><b>David Chiang</b></h2><h3>dblp_id: 89/233-1</h3><h3>DBLP URL: <a href='https://dblp.org/pid/89/233-1'>https://dblp.org/pid/89/233-1</a></h3><h3>Affiliation: University of Notre Dame, USA, Unknown</h3>",https://dblp.org/pid/89/233-1,-0.0909,0.2537,12,33,112
58/3217,Kevin Duh,"<h2><b>Kevin Duh</b></h2><h3>dblp_id: 58/3217</h3><h3>DBLP URL: <a href='https://dblp.org/pid/58/3217'>https://dblp.org/pid/58/3217</a></h3><h3>Affiliation: Johns Hopkins University, Unknown</h3>",https://dblp.org/pid/58/3217,-0.1744,0.2603,8,44,330
29/2006,Laura Rimell,<h2><b>Laura Rimell</b></h2><h3>dblp_id: 29/2006</h3><h3>DBLP URL: <a href='https://dblp.org/pid/29/2006'>https://dblp.org/pid/29/2006</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/29/2006,-0.9346,0.5495,1,25,132
07/9769,Manaal Faruqui,<h2><b>Manaal Faruqui</b></h2><h3>dblp_id: 07/9769</h3><h3>DBLP URL: <a href='https://dblp.org/pid/07/9769'>https://dblp.org/pid/07/9769</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/07/9769,-0.6815,0.8366,1,46,296
38/8065,Miguel Ballesteros,"<h2><b>Miguel Ballesteros</b></h2><h3>dblp_id: 38/8065</h3><h3>DBLP URL: <a href='https://dblp.org/pid/38/8065'>https://dblp.org/pid/38/8065</a></h3><h3>Affiliation: AWS AI Labs, Unknown</h3>",https://dblp.org/pid/38/8065,-0.0404,0.3867,1,30,302
131/6883,Naomi Saphra,<h2><b>Naomi Saphra</b></h2><h3>dblp_id: 131/6883</h3><h3>DBLP URL: <a href='https://dblp.org/pid/131/6883'>https://dblp.org/pid/131/6883</a></h3><h3>Affiliation: New York University</h3>,https://dblp.org/pid/131/6883,-0.7042,0.6049,1,29,108
90/5204,Noah A. Smith,<h2><b>Noah A. Smith</b></h2><h3>dblp_id: 90/5204</h3><h3>DBLP URL: <a href='https://dblp.org/pid/90/5204'>https://dblp.org/pid/90/5204</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/90/5204,-0.1862,0.8429,1,80,1312
29/4187,Pascale Fung,<h2><b>Pascale Fung</b></h2><h3>dblp_id: 29/4187</h3><h3>DBLP URL: <a href='https://dblp.org/pid/29/4187'>https://dblp.org/pid/29/4187</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/29/4187,0.2993,0.3755,2,16,266
96/4705,Phil Blunsom,<h2><b>Phil Blunsom</b></h2><h3>dblp_id: 96/4705</h3><h3>DBLP URL: <a href='https://dblp.org/pid/96/4705'>https://dblp.org/pid/96/4705</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/96/4705,-0.5857,0.8309,1,16,286
186/7066,Sebastian Ruder,<h2><b>Sebastian Ruder</b></h2><h3>dblp_id: 186/7066</h3><h3>DBLP URL: <a href='https://dblp.org/pid/186/7066'>https://dblp.org/pid/186/7066</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/186/7066,-0.9291,0.4548,3,32,328
121/2036,Swabha Swayamdipta,<h2><b>Swabha Swayamdipta</b></h2><h3>dblp_id: 121/2036</h3><h3>DBLP URL: <a href='https://dblp.org/pid/121/2036'>https://dblp.org/pid/121/2036</a></h3><h3>Affiliation: Allen Institute for Artificial Intelligence</h3>,https://dblp.org/pid/121/2036,-0.2398,1.1546,1,28,166
66/4613,Trevor Cohn,"<h2><b>Trevor Cohn</b></h2><h3>dblp_id: 66/4613</h3><h3>DBLP URL: <a href='https://dblp.org/pid/66/4613'>https://dblp.org/pid/66/4613</a></h3><h3>Affiliation: University of Melbourne, The University of Melbourne, Australia, Unknown</h3>",https://dblp.org/pid/66/4613,-0.3697,0.3675,10,26,444
